symbol,open_time_ms,open,high,low,close,volume,close_time_ms,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
ETHUSDT,1768805700000,3193.45000000,3195.58000000,3193.44000000,3195.58000000,376.77480000,1768805999999,1203534.38748200,5053,146.59990000,468280.41803300,0
ETHUSDT,1768806000000,3195.58000000,3200.23000000,3195.58000000,3198.29000000,831.56530000,1768806299999,2659673.28011900,9714,444.57470000,1421941.88195200,0
ETHUSDT,1768806300000,3198.28000000,3198.69000000,3197.00000000,3198.68000000,478.09860000,1768806599999,1528894.67006600,5219,130.25320000,416548.09311800,0
ETHUSDT,1768806600000,3198.68000000,3200.23000000,3196.61000000,3200.23000000,223.42340000,1768806899999,714537.03608900,3919,108.38170000,346611.38013800,0
ETHUSDT,1768806900000,3200.23000000,3202.46000000,3199.77000000,3202.06000000,536.42990000,1768807199999,1717123.04292000,6135,223.87980000,716678.48894800,0
ETHUSDT,1768807200000,3202.06000000,3202.07000000,3200.00000000,3202.06000000,323.27760000,1768807499999,1034737.58572200,10859,142.80470000,457072.81924900,0
ETHUSDT,1768807500000,3202.06000000,3203.12000000,3200.11000000,3200.41000000,324.21020000,1768807799999,1037992.76184500,6263,134.08450000,429322.18038100,0
ETHUSDT,1768807800000,3200.40000000,3202.14000000,3198.78000000,3200.95000000,1189.42130000,1768808099999,3806121.75877800,11297,712.44340000,2279799.07738300,0
ETHUSDT,1768808100000,3200.96000000,3203.12000000,3200.00000000,3202.73000000,968.38580000,1768808399999,3100374.63764100,11022,669.25710000,2142667.17495100,0
ETHUSDT,1768808400000,3202.74000000,3204.81000000,3202.47000000,3204.09000000,1473.80870000,1768808699999,4721553.88306400,7905,1180.14430000,3780759.16351300,0
ETHUSDT,1768808700000,3204.10000000,3206.17000000,3203.10000000,3206.12000000,933.04550000,1768808999999,2990115.22609700,10680,723.49700000,2318593.58768100,0
ETHUSDT,1768809000000,3206.13000000,3209.42000000,3205.14000000,3208.07000000,1570.82490000,1768809299999,5038228.87005300,12333,1060.22590000,3400543.31572500,0
ETHUSDT,1768809300000,3208.08000000,3208.91000000,3205.75000000,3207.47000000,1140.06930000,1768809599999,3656906.64768500,10809,693.55870000,2224684.14789400,0
ETHUSDT,1768809600000,3207.47000000,3207.71000000,3201.04000000,3203.73000000,964.88030000,1768809899999,3091880.53579500,14705,496.94960000,1592311.77034300,0
ETHUSDT,1768809900000,3203.73000000,3203.74000000,3198.82000000,3202.47000000,3194.45330000,1768810199999,10225066.71082100,12030,607.65630000,1945330.99377400,0
ETHUSDT,1768810200000,3202.47000000,3203.96000000,3197.30000000,3197.89000000,937.46990000,1768810499999,3001000.70010800,8076,431.72150000,1382516.10064200,0
ETHUSDT,1768810500000,3197.89000000,3208.10000000,3197.64000000,3206.02000000,639.24600000,1768810799999,2047812.48559300,11137,381.65810000,1222736.68064200,0
ETHUSDT,1768810800000,3206.02000000,3221.99000000,3206.01000000,3217.44000000,3630.43640000,1768811099999,11674304.59184100,45188,2355.78650000,7575416.69602700,0
ETHUSDT,1768811100000,3217.44000000,3217.94000000,3208.99000000,3209.00000000,1443.79220000,1768811399999,4640629.63619700,15893,505.90160000,1626644.78547200,0
ETHUSDT,1768811400000,3208.99000000,3218.99000000,3206.30000000,3216.41000000,1309.25390000,1768811699999,4208478.20473400,19225,684.07320000,2199166.53295300,0
ETHUSDT,1768811700000,3216.40000000,3217.32000000,3211.78000000,3211.88000000,1061.17840000,1768811999999,3411682.68637200,16577,456.48670000,1467728.05084000,0
ETHUSDT,1768812000000,3211.89000000,3218.24000000,3210.00000000,3214.17000000,1900.23580000,1768812299999,6108201.69778300,15450,958.51030000,3081249.98152300,0
ETHUSDT,1768812300000,3214.17000000,3217.46000000,3214.15000000,3215.96000000,695.90200000,1768812599999,2237857.02328500,10695,360.54340000,1159411.20422600,0
ETHUSDT,1768812600000,3215.96000000,3216.71000000,3214.89000000,3215.73000000,396.99970000,1768812899999,1276654.77063600,7424,213.58360000,686831.67166700,0
ETHUSDT,1768812900000,3215.73000000,3218.98000000,3213.82000000,3213.87000000,768.42390000,1768813199999,2471192.92260000,11675,475.04810000,1527789.76407100,0
ETHUSDT,1768813200000,3213.87000000,3214.87000000,3210.00000000,3211.94000000,653.45660000,1768813499999,2098569.56391600,15639,238.64920000,766444.45816700,0
ETHUSDT,1768813500000,3211.93000000,3213.02000000,3209.82000000,3212.31000000,547.84680000,1768813799999,1759209.16819000,9070,259.51000000,833302.48988200,0
ETHUSDT,1768813800000,3212.31000000,3213.06000000,3207.88000000,3210.14000000,691.25970000,1768814099999,2219493.05978900,13929,275.71260000,885190.28014300,0
ETHUSDT,1768814100000,3210.15000000,3212.68000000,3206.89000000,3208.63000000,430.28710000,1768814399999,1381423.54628500,15106,185.28430000,594866.38065200,0
ETHUSDT,1768814400000,3208.64000000,3212.51000000,3208.64000000,3210.84000000,550.60190000,1768814699999,1768108.23666300,8756,309.56340000,994122.56640300,0
ETHUSDT,1768814700000,3210.84000000,3211.99000000,3208.68000000,3210.38000000,521.10950000,1768814999999,1672972.90039100,10320,130.51150000,418944.76473500,0
ETHUSDT,1768815000000,3210.38000000,3212.20000000,3208.72000000,3210.11000000,284.92620000,1768815299999,914692.54893900,10841,114.05390000,366142.59778300,0
ETHUSDT,1768815300000,3210.11000000,3210.63000000,3207.64000000,3208.42000000,477.29740000,1768815599999,1531662.30169500,10322,176.17720000,565280.69972000,0
